mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	266													
17	17	199/4	199/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	267										29			
17	17	50	50	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	268										29			
17	17	201/4	201/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	269										29			
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	270													
17	17	48	48	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	271													
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	272													
18	18	205/4	205/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	273										30			
18	18	103/2	103/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	274										30			
18	18	207/4	207/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	275										30			
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	276													
18	18	211/4	211/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	277										31			
18	18	53	53	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	278										31			
18	18	213/4	213/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	279										31			
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	280													
18	18	51	51	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	281													
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	282													
19	19	55	55	0.0	1/4	1/4	Dynamic	6/8	1	1	0							p										
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	283	Der	Was											
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	284	still-	still											
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	285	-ste	sonst											
19	19	217/4	217/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	286										32			
19	19	109/2	109/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	287										32			
19	19	219/4	219/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	288										32			
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	289													
19	19	223/4	223/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	290										33			
19	19	56	56	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	291										33			
19	19	225/4	225/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	292										33			
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	293													
19	19	54	54	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	294													
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	295													
20	20	57	57	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	296	Hauch 	nur 											
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																2	
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	297												2	
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	298	aus	die										2	
20	20	229/4	229/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	299										34			
20	20	115/2	115/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	300										34			
20	20	231/4	231/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	301										34			
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	302													
20	20	235/4	235/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	303										35			
20	20	59	59	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	304										35			
20	20	237/4	237/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	305										35			
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	306													
20	20	57	57	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	307													
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	308													
21	21	60	60	0.0	0	0	Spanner	6/8	1	1	0																	
21	21	60	60	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	309	lau-	Brust 								36			
21	21	61	61	0.0	1/4	1/4	Spanner	6/8	1	1	0															0		
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	310											0		
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	311										37	0		
21	21	62	62	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	312											0		
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	313	-ter	durch-									0		
21	21	241/4	241/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	314										38			
21	21	121/2	121/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	315										38			
21	21	243/4	243/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	316										38			
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	317													
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	2	1	0															1		
21	21	247/4	247/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	318										39	1		
21	21	62	62	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	319										39	1		
21	21	249/4	249/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	320										39	1		
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	321											1		
21	21	60	60	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	322													
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	323													
22	22	63	63	0.0	0	0	Spanner	6/8	1	1	0																	
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	324	Brust,	-zieht,											
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	325	in	fliegt											
22	22	63	63	0.0	0	0	Spanner	6/8	2	1	0																	
22	22	253/4	253/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	326										40			
22	22	127/2	127/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	327										40			
22	22	255/4	255/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	328										40			
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	329													
22	22	259/4	259/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	330										41			
22	22	65	65	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	331										41			
22	22	261/4	261/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	332										41			
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	333													
22	22	63	63	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	334													
22	22	129/2	129/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	335													
23	23	66	66	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	336	Leid	aus											
23	23	67	67	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	337	und	auf											
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	338	Lust	lau-											
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	339	ent-	-ten											
23	23	265/4	265/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	340										42			
23	23	133/2	133/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	341										42			
23	23	267/4	267/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	342										42			
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	343													
23	23	271/4	271/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	344										43			
23	23	68	68	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	345										43			
23	23	273/4	273/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	346										43			
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	347													
23	23	66	66	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	348													
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	349													
24	24	69	69	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	350	-run-	Schwin-								44			
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	351													
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	352	-gen,	-gen,											
24	24	277/4	277/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	353										45			
24	24	139/2	139/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	354										45			
24	24	279/4	279/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	355										45			
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	356													
24	24	283/4	283/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	357										46			
24	24	71	71	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	358										46			
24	24	285/4	285/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	359										46			
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	360													
24	24	69	69	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	361													
24	24	141/2	141/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	362													
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	363	er	o											
25	25	289/4	289/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	364										47			
25	25	145/2	145/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	365										47			
25	25	291/4	291/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	366										47			
25	25	73	73	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	367													
25	25	295/4	295/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	368										48			
25	25	74	74	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	369										48			
25	25	297/4	297/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	370										48			
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	371													
25	25	72	72	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	372													
25	25	147/2	147/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	373													
25	25	147/2	147/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8		1/4	3/2	374													
26	26	75	75	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	375	wird 	Lust, 								49			
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	376										49			
26	26	77	77	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	377													
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	378	zum	o											
26	26	301/4	301/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	379										50			
26	26	151/2	151/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	380										50			
26	26	303/4	303/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	381										50			
26	26	76	76	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	382													
26	26	307/4	307/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	383										51			
26	26	77	77	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	384										51			
26	26	309/4	309/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	385										51			
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	386													
26	26	75	75	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	387													
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	388													
26	26	75	75	3.0	0	0	Chord	6/8	3	2	3/4		1/2	3/2	389													
27	27	78	78	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	390	Klan-	Lust											
27	27	159/2	159/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	391	-ge	vom											
27	27	313/4	313/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	392										52			
27	27	157/2	157/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	393										52			
27	27	315/4	315/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	394										52			
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	395													
27	27	319/4	319/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	396										53			
27	27	80	80	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	397										53			
27	27	321/4	321/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	398										53			
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	399													
27	27	78	78	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	400													
27	27	159/2	159/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	401													
27	27	78	78	3.0	0	0	Chord	6/8	3	2	3/4		1/2	3/2	402													
28	28	81	81	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	403	un-	Berg											
28	28	327/4	327/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	404	-be-												
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	405	-wusst	ein											
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	406	für												
28	28	81	81	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	407													
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	408													
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	409		Lied											
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	410		in's											
28	28	81	81	0.0	0	0	Dynamic	6/8	2	1	0							p										
28	28	325/4	325/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	411										54			
28	28	163/2	163/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	412										54			
28	28	327/4	327/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	413										54			
28	28	82	82	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	414													
28	28	331/4	331/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	415										55			
28	28	83	83	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	416										55			
28	28	333/4	333/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	417										55			
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	418													
28	28	81	81	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	419													
28	28	165/2	165/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	420													
28	28	81	81	3.0	0	0	Chord	6/8	3	2	3/4		1/2	3/2	421													
28	28	81	81	1.5	0	0	Chord	6/8	3	3	3/8		1/4	3/2	422													
28	28	165/2	165/2	1.5	3/8	3/8	Chord	6/8	3	3	3/8		1/4	3/2	423													
29	29	84	84	0.0	0	0	Spanner	6/8	1	1	0																	0
29	29	84	84	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	424	al-	Land											0
29	29	85	85	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	425	-le	hin-											0
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	426	Welt	-ab											0
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	427	ge-	zu											0
29	29	337/4	337/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	428										56			
29	29	169/2	169/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	429										56			
29	29	339/4	339/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	430										56			
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	431													
29	29	343/4	343/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	432										57			
29	29	86	86	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	433										57			
29	29	345/4	345/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	434										57			
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	435													
29	29	84	84	0.0	0	0	Spanner	6/8	3	1	0																	1
29	29	84	84	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	436													1
29	29	171/2	171/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	437													1
29	29	84	84	3.0	0	0	Chord	6/8	3	2	3/4		1/2	3/2	438													1
29	29	84	84	1.5	0	0	Chord	6/8	3	3	3/8		1/4	3/2	439													1
29	29	171/2	171/2	1.5	3/8	3/8	Chord	6/8	3	3	3/8		1/4	3/2	440													1
30	30	87	87	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	441	-sun-	sin-											0
30	30	88	88	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	442	-gen	-gen,											0
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	443	er	o											0
30	30	349/4	349/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	444										58			
30	30	175/2	175/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	445										58			
30	30	351/4	351/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	446										58			
30	30	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	447													
30	30	355/4	355/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	448										59			
30	30	89	89	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	449										59			
30	30	357/4	357/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	450										59			
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	451													
30	30	87	87	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	452													1
30	30	177/2	177/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	453													1
31	31	90	90	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	454	wird 	Lust, 								60			0
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	455													0
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	456	zum	o											0
31	31	361/4	361/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	457										61			
31	31	181/2	181/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	458										61			
31	31	363/4	363/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	459										61			
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	460													
31	31	367/4	367/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	461										62			
31	31	92	92	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	462										62			
31	31	369/4	369/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	463										62			
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	464													
31	31	90	90	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	465													1
31	31	183/2	183/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	466													1
32	32	93	93	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	467	Klan-	Lust,											0
32	32	94	94	0.0	1/4	1/4	Spanner	6/8	1	1	0																	
32	32	94	94	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	468	-ge,												
32	32	191/2	191/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0							f										
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	469	er	o											
32	32	373/4	373/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	470										63			
32	32	187/2	187/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	471										63			
32	32	375/4	375/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	472										63			
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	473													
32	32	379/4	379/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	474										64			
32	32	95	95	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	475										64			
32	32	381/4	381/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	476										64			
32	32	191/2	191/2	0.0	5/8	5/8	Dynamic	6/8	2	1	0							mf										
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	477													
32	32	93	93	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	478													1
32	32	189/2	189/2	0.0	3/8	3/8	Spanner	6/8	3	1	0																	
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	479													
33	33	96	96	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	480	wird	Lust,											
33	33	97	97	0.0	1/4	1/4	Spanner	6/8	1	1	0															2		
33	33	97	97	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	481	zum	o									2		
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	482	Klan-	Lust									2		
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	483	-ge	vom									2		
33	33	385/4	385/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	484										65			
33	33	193/2	193/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	485										65			
33	33	387/4	387/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	486										65			
33	33	97	97	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	487													
33	33	195/2	195/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	488										66			
33	33	391/4	391/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	489										66			
33	33	98	98	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	490										66			
33	33	393/4	393/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	491										66			
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	492													
33	33	96	96	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	493													
33	33	97	97	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	494													
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	495													
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	496													
33	33	96	96	3.0	0	0	Chord	6/8	3	2	3/4		1/2	3/2	497													
33	33	97	97	0.0	1/4	1/4	Spanner	6/8	3	2	0															3		
34	34	199/2	199/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	498	un-										2		
34	34	100	100	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	499	-be-	ein									2		
34	34	201/2	201/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	500	-wusst	Lied									2		
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	501	für	in's									2		
34	34	99	99	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	502		Berg									2		
34	34	100	100	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	503		ein									2		
34	34	199/2	199/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	504													
34	34	100	100	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	505													
34	34	201/2	201/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	506										67			
34	34	403/4	403/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	507										67			
34	34	101	101	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	508										67			
34	34	405/4	405/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	509										67			
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	510													
34	34	99	99	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	511											3		
34	34	397/4	397/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	512											3		
34	34	199/2	199/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	513											3		
34	34	399/4	399/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	514											3		
34	34	100	100	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	515											3		
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	516											3		
34	34	99	99	1.0	0	0	Chord	6/8	3	2	1/4		1/4	1	517											3		
34	34	201/2	201/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4		1/4	1	518											3		
35	35	102	102	0.0	0	0	Spanner	6/8	1	1	0																	
35	35	102	102	0.0	0	0	Spanner	6/8	1	1	0																3	
35	35	102	102	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	519	al-	Land										3	
35	35	103	103	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	520	-le	hin-										3	
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	521	Welt	-ab										3	
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	522	ge-	zu										3	
35	35	102	102	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	523													
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	524													
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	525													
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	526													
35	35	102	102	3.0	0	0	Chord	6/8	3	1	3/4		1/2	3/2	527													
35	35	102	102	0.0	0	0	Spanner	6/8	3	2	0																	
36	36	105	105	0.0	0	0	Spanner	6/8	1	1	0																	
36	36	105	105	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	528	-sun-	sin-								68			
