mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_line	crescendo_hairpin
28	27	81	81	0.0	5/8	5/8	Dynamic	6/8	1	1	0						f												
28	27	81	81	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	272	das													
28	27	157/2	157/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	273														
28	27	159/2	159/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	274														
28	27	80	80	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	275														
28	27	161/2	161/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	276														
28	27	81	81	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	277														
29	28	163/2	163/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	278	E-													
29	28	165/2	165/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	279	-cho													
29	28	83	83	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	280	tönt													
29	28	84	84	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	281	im													
29	28	163/2	163/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	282														
29	28	83	83	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	283														
29	28	84	84	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	284														
30	29	169/2	169/2	0.0	0	0	Spanner	6/8	1	1	0																0		
30	29	169/2	169/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	285	Wi-											0		
30	29	86	86	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	286												0		
30	29	87	87	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	287	-der-											0		
30	29	169/2	169/2	0.0	0	0	Spanner	6/8	2	1	0																1		
30	29	169/2	169/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	288												1		
30	29	171/2	171/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	289												1		
30	29	86	86	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	290												1		
30	29	173/2	173/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	291												1		
30	29	87	87	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	292												1		
31	30	175/2	175/2	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	293	-hall, 											0		
31	30	175/2	175/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	294												1		
31	30	177/2	177/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	295												1		
31	30	89	89	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	296												1		
31	30	179/2	179/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	297												1		
31	30	90	90	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	298												1		
32	31	181/2	181/2	0.0	0	0	Spanner	6/8	1	1	0																		
32	31	181/2	181/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	299														
32	31	181/2	181/2	0.0	0	0	Dynamic	6/8	2	1	0						p												
32	31	181/2	181/2	0.0	0	0	Spanner	6/8	2	1	0																		
32	31	181/2	181/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	300														
32	31	183/2	183/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	301														
32	31	92	92	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	302														
32	31	185/2	185/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	303														
32	31	93	93	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	304														
33	32	189/2	189/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	305	es													
33	32	95	95	0.0	3/8	3/8	Spanner	6/8	1	1	0																		0
33	32	95	95	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	306	klingt													0
33	32	96	96	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	307	und													0
33	32	187/2	187/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	308														
33	32	95	95	0.0	3/8	3/8	Spanner	6/8	2	1	0																		1
33	32	95	95	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	309														1
33	32	95	95	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	310														
34	33	193/2	193/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	311	singt								31					0
34	33	97	97	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	312														0
34	33	195/2	195/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	313	all													0
34	33	98	98	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	314	ü-													0
34	33	99	99	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	315	-ber-													0
34	33	193/2	193/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	316														1
34	33	98	98	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	317														1
34	33	193/2	193/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	318														
34	33	98	98	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	319														
35	34	199/2	199/2	0.0	0	0	Spanner	6/8	1	1	0																		
35	34	199/2	199/2	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	320	-all,													
35	34	199/2	199/2	0.0	0	0	Dynamic	6/8	2	1	0						f												
35	34	199/2	199/2	0.0	0	0	Spanner	6/8	2	1	0																		
35	34	199/2	199/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	321														
35	34	201/2	201/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	322														
35	34	101	101	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	323														
35	34	102	102	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	324														
35	34	199/2	199/2	0.0	0	0	Spanner	6/8	3	1	0														0	0			
35	34	199/2	199/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	325										0	0			
35	34	201/2	201/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	326										0	0			
35	34	101	101	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	327										0	0			
35	34	102	102	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	328										0	0			
36	35	205/2	205/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	329														
36	35	105	105	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	330	das													
36	35	205/2	205/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	331														
36	35	207/2	207/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	332														
36	35	104	104	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	333														
36	35	209/2	209/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	334														
36	35	105	105	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	335														
36	35	205/2	205/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	336										0	0			
36	35	207/2	207/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	337										0	0			
36	35	104	104	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	338										0	0			
36	35	209/2	209/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	339										0	0			
36	35	105	105	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	340										0	0			
37	36	211/2	211/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	341	ist 													
37	36	107	107	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	342														
37	36	108	108	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	343	ein													
37	36	211/2	211/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	344														
37	36	213/2	213/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	345														
37	36	107	107	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	346														
37	36	108	108	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	347														
37	36	211/2	211/2	0.0	0	0	Spanner	6/8	3	1	0																		
37	36	211/2	211/2	0.0	0	0	Spanner	6/8	3	1	0														1	1			
37	36	211/2	211/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	348										1	1			
37	36	213/2	213/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	349										1	1			
37	36	107	107	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	350										1	1			
37	36	108	108	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	351										1	1			
38	37	217/2	217/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	352	Früh-													
38	37	110	110	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	353	-lings-													
38	37	217/2	217/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	354														
38	37	219/2	219/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	355														
38	37	110	110	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	356														
38	37	221/2	221/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	357														
38	37	111	111	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	358														
38	37	217/2	217/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	359										1	1			
38	37	219/2	219/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	360										1	1			
38	37	110	110	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	361										1	1			
38	37	221/2	221/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	362										1	1			
38	37	111	111	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	363										1	1			
39	38	223/2	223/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	364	-lied,													
39	38	113	113	0.0	3/8	3/8	Dynamic	6/8	1	1	0						f												
39	38	113	113	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	365	das													
39	38	223/2	223/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	366														
39	38	225/2	225/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	367														
39	38	113	113	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	368														
39	38	227/2	227/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	369														
39	38	114	114	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	370														
39	38	223/2	223/2	0.0	0	0	Spanner	6/8	3	1	0																		
39	38	223/2	223/2	0.0	0	0	Spanner	6/8	3	1	0														2	2			
39	38	223/2	223/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	371										2	2			
39	38	225/2	225/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	372										2	2			
39	38	113	113	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	373										2	2			
39	38	227/2	227/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	374										2	2			
39	38	114	114	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	375										2	2			
40	39	229/2	229/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	376	ist													
40	39	116	116	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	377	ein													
40	39	229/2	229/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	378														
40	39	115	115	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	379														
40	39	231/2	231/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	380														
40	39	116	116	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	381														
40	39	233/2	233/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	382														
40	39	117	117	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	383														
40	39	229/2	229/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	384										2	2			
40	39	115	115	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	385										2	2			
40	39	231/2	231/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	386										2	2			
40	39	116	116	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	387										2	2			
40	39	233/2	233/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	388										2	2			
40	39	117	117	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	389										2	2			
41	40	235/2	235/2	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	390	Früh-													
41	40	235/2	235/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	391														
41	40	118	118	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	392														
41	40	237/2	237/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	393														
41	40	119	119	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	394														
41	40	239/2	239/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	395														
41	40	120	120	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	396														
41	40	235/2	235/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	397										2	2			
41	40	118	118	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	398										2	2			
41	40	237/2	237/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	399										2	2			
41	40	119	119	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	400										2	2			
41	40	239/2	239/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	401										2	2			
41	40	120	120	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	402										2	2			
42	41	241/2	241/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	403														
42	41	122	122	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	404	-lings-													
42	41	241/2	241/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	405														
42	41	122	122	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	406														
42	41	241/2	241/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	407										2	2			
42	41	243/2	243/2	0.0	1/4	1/4	Spanner	6/8	3	1	0																		
42	41	122	122	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	408														
43	42	247/2	247/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	409	-lied.													
43	42	247/2	247/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	410														
43	42	125	125	0.0	3/8	3/8	Dynamic	6/8	2	1	0						mf												
43	42	125	125	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	1	411														
43	42	125	125	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	412			articAccentAbove											
43	42	251/2	251/2	0.0	1/2	1/2	Dynamic	6/8	2	2	0						p												
43	42	126	126	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	413														
43	42	247/2	247/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	414														
43	42	126	126	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	415			articStaccatoAbove											
44	43	253/2	253/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	416														
44	43	128	128	0.0	3/8	3/8	Dynamic	6/8	2	1	0						p												
44	43	128	128	0.0	3/8	3/8	Chord	6/8	2	1	0	acciaccatura	1/8	1	417														
44	43	128	128	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	418														
44	43	253/2	253/2	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	419														
44	43	129	129	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	420														
44	43	253/2	253/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	421			articStaccatoAbove											
44	43	129	129	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	422			articStaccatoBelow											
45	44	259/2	259/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	423														
45	44	131	131	0.0	3/8	3/8	Dynamic	6/8	2	1	0						pp												
45	44	131	131	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	424			articStaccatoAbove											
45	44	259/2	259/2	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	425														
45	44	259/2	259/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	426			articStaccatoBelow											
45	44	132	132	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	427			articStaccatoAbove											
46	45	265/2	265/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	428														
46	45	265/2	265/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	429			articStaccatoAbove											
