mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	188									23						
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	189															
14	14	40	40	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	190															
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	191															
14	14	41	41	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	192															
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	193															
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	194	giesst														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	195	al-														
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	196	-le														
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	197	sei-														
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	198	-ne														
15	15	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	199									24						
15	15	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	200															
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	201															
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	202															
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	203															
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	204															
15	15	42	42	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	205									25						
15	15	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	206									25						
15	15	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	207															
15	15	43	43	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	208															
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	209															
15	15	44	44	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	210															
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	211															
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	212	Strah-														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213	-len														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	214	in														
16	16	136/3	136/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	215									26						
16	16	137/3	137/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	216															
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	217															
