mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	263										1	1			
19	19	54	54	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	264										1	1			
20	20	57	57	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	265	drun-													
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	266	-ten													
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	267	im													
20	20	57	57	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	268														
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	269														
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	270														
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	271														
20	20	59	59	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	272														
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	273														
20	20	57	57	0.0	0	0	Spanner	6/8	3	1	0																	
20	20	57	57	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	274														
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	275														
20	20	58	58	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	276														
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	277														
20	20	59	59	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	278														
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	279														
21	21	60	60	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	280	Tha-													
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	281	-le													
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	282	da													
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	283														
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	284														
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	285														
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	286														
21	21	60	60	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	287									13					
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	288														
21	21	61	61	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	289														
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	290														
21	21	62	62	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	291														
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	292														
22	22	63	63	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	293	fun-													
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	294	-keln													
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	295	die													
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																	4
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	296	Fens-													4
22	22	65	65	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	297	-ter													4
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	298	von													4
22	22	63	63	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	299														
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	300														
22	22	64	64	0.0	1/4	1/4	Spanner	6/8	2	1	0																	5
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	301														5
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	302														5
22	22	65	65	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	303														5
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	304														5
22	22	63	63	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	305														
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	306														
22	22	64	64	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	307														
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	308														
22	22	65	65	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	309														
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	310														
23	23	66	66	0.0	0	0	Dynamic	6/8	1	1	0					f												
23	23	66	66	0.0	0	0	Spanner	6/8	1	1	0																	
23	23	66	66	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	311	Lieb-													
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	312														
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	313	-chens													
23	23	66	66	0.0	0	0	Dynamic	6/8	2	1	0					f												
23	23	66	66	0.0	0	0	Spanner	6/8	2	1	0																	
23	23	133/2	133/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	314														
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	315														
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	316														
23	23	68	68	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	317														
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	318														
23	23	66	66	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	319														
23	23	133/2	133/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	320														
23	23	67	67	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	321														
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	322														
23	23	68	68	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	323														
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	324														
24	24	69	69	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	325	Haus;													
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	326	ich													
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	327														
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	328														
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	329														
24	24	71	71	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	330														
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	331														
24	24	69	69	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	332														
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	333														
24	24	70	70	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	334														
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	335														
24	24	71	71	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	336														
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	337														
25	25	72	72	0.0	0	0	Tempo	6/8	1	1	0							rit.	48.0			1.0						
25	25	72	72	0.0	0	0	Spanner	6/8	1	1	0															0		
25	25	72	72	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	338	a-											0		
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	339	-ber											0		
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	340	bli-											0		
25	25	74	74	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	341	-cke											0		
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	342	im											0		
25	25	145/2	145/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	343														
25	25	73	73	0.0	1/4	1/4	Spanner	6/8	2	1	0															1		
25	25	73	73	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	344												1		
25	25	74	74	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	345												1		
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	346												1		
25	25	72	72	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	347														
25	25	145/2	145/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	348														
25	25	73	73	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	349														
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	350														
25	25	74	74	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	351														
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	352														
26	26	75	75	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	353	Dun-											0		
26	26	76	76	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	354	-keln											0		
26	26	153/2	153/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	355	still		articAccentBelow									0		
26	26	151/2	151/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	356												1		
26	26	76	76	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	357												1		
26	26	77	77	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	358												1		
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	359												1		
26	26	75	75	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	360														
26	26	151/2	151/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	361														
26	26	76	76	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	362														
26	26	77	77	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	363														
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	364														
27	27	78	78	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	365												0		
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	366	in											0		
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	367	die											0		
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	368	Welt											0		
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	369	hin-											0		
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	370												1		
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	371												1		
27	27	80	80	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	372												1		
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	373												1		
27	27	157/2	157/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	374														
27	27	79	79	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	375														
27	27	80	80	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	376														
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	377														
28	28	81	81	0.0	0	0	Spanner	6/8	1	1	0																	
28	28	81	81	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	378	-aus.													
28	28	81	81	0.0	0	0	Spanner	6/8	2	1	0																	
28	28	82	82	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	379									14					
28	28	165/2	165/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	380									14					
28	28	83	83	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	381									14					
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	382									14					
28	28	81	81	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	383									15					
28	28	163/2	163/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	384									15					
28	28	82	82	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	385									15					
28	28	165/2	165/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	386									15					
28	28	83	83	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	387									15					
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	388									15					
29	29	84	84	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	389														
29	29	84	84	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	390									14					
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	391									14					
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	392									14					
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	393									14					
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	394														
29	29	171/2	171/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	395														
29	29	84	84	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	396									15					
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	397									15					
29	29	85	85	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	398									15					
29	29	171/2	171/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	399														
30	30	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	400									16					
30	30	177/2	177/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	401									16					
30	30	89	89	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	402									16					
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	403									16					
30	30	87	87	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	404									17					
30	30	175/2	175/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	405									17					
30	30	88	88	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	406									17					
30	30	177/2	177/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	407									17					
30	30	89	89	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	408									17					
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	409									17					
31	31	90	90	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	410									16					
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	411									16					
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	412									16					
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	413									16					
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	414									16					
31	31	183/2	183/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	415														
31	31	90	90	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	416									17					
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	417									17					
31	31	91	91	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	418									17					
31	31	183/2	183/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	419									17					
32	32	93	93	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	420														
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	421														
32	32	93	93	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	422									17					
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	423														
33	33	96	96	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	424														
33	33	96	96	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	425														
